--------------
select id, medieval_catalogue from books_book where medieval_catalogue > '' order by id
--------------

id	medieval_catalogue
1071	Cat. 886; Ingram 125; Leland
1072	Cat. 257
1073	Cat. 281, Stone 10
1079	Cat. 1420
1080	Cat. 188 or 189
1081	?Cat. 114
1083	Cat. 874
1084	Cat. 875
1085	Cat. 862
1086	Cat. 51 or 52, Ingram 138
1087	Cat. 340; Ingram 148
1088	Cat. 1182
1089	Ingram 5
1092	Cat. 173
1093	Cat. 208; Ingram 113
1094	Cat. 60; Ingram 135
1095	Cat. 176, Ingram 270
1096	Ingram 66
1097	Cat. 87, Ingram 121
1098	Cat. 240, Ingram 53
1099	Cat. 123, Ingram 64
1100	Ingram 139
1101	Cat. 188, Ingram 107
1102	Cat. 17, Ingram 88
1103	Cat. 197, Ingram 114
1104	Cat. 213, Ingram 74
1105	Cat. 199, Ingram 115
1106	Cat. 206--7, Ingram 117
1108	Cat. 49; Ingram 134
1109	Cat. 61, Ingram 133
1110	Cat. 797 or 875, Ingram 54
1111	Ingram 36
1112	Cat. 46, Ingram 49
1113	Cat. 226, Ingram 84
1114	Cat. 924, Ingram 109
1115	Ingram 69
1116	Cat. 33, Ingram 96
1117	Cat. 205, Ingram 116
1118	Ingram 41
1119	Cat. 793 or 872, Ingram 40
1120	Cat. 10 or 11, Ingram 91
1121	Cat. 
1122	Cat. 19, Ingram 86
1123	Cat. 23, Ingram 97
1124	Cat. 6, Ingram 89
1125	Cat. 1390, Ingram 50
1126	Cat. 8, Ingram 118
1127	Cat. 220, Ingram 75
1128	Cat. 332, Ingram 131
1129	Cat. 1777 or H. of Eastry 5, Ingram 15
1130	Cat. 1778 or H. of Eastry 2, Ingram 16
1131	Ingram 63
1132	Cat. 1339, Ingram 90
1133	Cat. 1 or 2, Ingram 85
1134	Cat. 34, Ingram 99
1135	Ingram 60
1136	Cat. 203, Ingram 101
1137	Ingram 34
1138	Cat. 854, Ingram 56
1139	Cat. 799, Ingram 48
1140	Cat. 856--7, Ingram 45--6
1141	Ingram 92
1142	Chillenden 5, ?Ingram 223
1143	Cat. 1325, Ingram 58
1144	Ingram 79
1145	Cat. 143
1146	Cat. 202, Ingram 103
1147	Cat. 200, Ingram 100
1148	Cat. 201, Ingram 102
1149	Cat. 324, Ingram 76
1150	Cat. 326, Ingram 78
1151	? Leland
1152	Old cat. 106, cat. 79
1153	Cat. 1084
1154	?Cat. 172
1156	Cat. 1671, Ingram 11
1157	Cat. 1649, Ingram 23
1158	Cat. 1666, Ingram 12
1159	Cat. 1670, Ingram 9
1160	Cat. 1676
1161	Cat. 833
1162	Ingram 202
1163	H. of Eastry 41, Ingram 234
1164	Cat. 816, Ingram 154
1168	Old cat. 39, cat. 438
1169	Ingram 266
1170	Cat. 323
1171	Ingram 112, 111
1173	Cat. 360
1174	Cat. 221
1175	Cat. 221
1179	Cat. 99
1180	Ingram 269.
1181	Ingram 242
1182	Ingram 221
1184	Cat. 1493, Ingram 217
1185	Chillenden 23, Ingram 250
1186	Cat. 628--9, Ingram 237
1189	Cat
1190	Cat. 1597, Ingram 20
1192	Cat. 1214--16, Ingram 37--9, Leland
1195	Cat. 359, 361, 364, 365
1199	Ingram 22
1200	cf. Cat. 577
1201	Ingram 27
1203	Ingram 29
1204	Ingram 141
1205	Cat. 1810
1208	cf. cat. 306
1209	cf. cat. 329?
1210	cf. cat. 371
1211	cf. cat. 126
1217	cat. 1096
1218	cat. 137
1219	cf. cat. 865
1221	cf. cat. 632
1222	Cat. 950
1227	Ingram 161
1231	Cat. 296?
1241	Cat. 291
1242	Cat. 352, Ingram 197
1244	Cat. 362
1246	cat. 292
1247	Cat. 954
1249	H. of Eastry 69
1250	Cat. 360
1251	Cat. 308?
1252	cat. 284
1253	cat. 244
1254	cat. 278
1255	Cat. 137
1256	Cat. 318
1261	cf. cat. 287
1262	Cat. 362
1263	Cat. 362
1264	Ingram 281
1266	cat. 314
1268	Cat. 321?
1269	cat. 78, Ingram 278, Leland
1270	Cat. 246
1271	cat. 291
1272	cat. 139
1274	cat. 91, Ingram 123
1276	cat. 71, Ingram 45
1277	Cat. 225
1279	Ingram 172
1282	cat. 134 or 135, Leland
1289	Ingram 201; ? Chillenden 2
1290	Ingram 186
1295	cat. 855; Ingram 57
1296	cat. 784; Ingram 32
1297	cf. cat. 77
1298	cat. 48
1299	cat. 48
1300	cat. 88, Ingram 124
1301	Cat. 85, Ingram 122
1303	Cat. 1668, Ingram 7
1304	cat. 89, Ingram 120
1305	Ingram 1
1306	cat. 62, Ingram 144
1307	Ingram 164
1308	Cat. 9, Ingram 119
